DlyCalDt;DlyRet;prc_raw;prc_adj;tri;openprc;vol
03/01/2000;0.023077;116.375000;56.676146;102.307700;117.000000;507674.000000
04/01/2000;-0.066595;108.625000;52.901794;95.494519;111.875000;389916.000000
05/01/2000;-0.027618;105.625000;51.440755;92.857151;104.750000;565549.000000
06/01/2000;-0.061539;99.125000;48.275170;87.142815;98.000000;1320415.000000
07/01/2000;0.022699;101.375000;49.370950;89.120870;98.312500;618897.000000
10/01/2000;0.094945;111.000000;54.058450;97.582451;107.000000;503880.000000
11/01/2000;-0.032658;107.375000;52.293028;94.395603;108.250000;417195.000000
12/01/2000;0.018626;109.375000;53.267054;96.153815;109.000000;293078.000000
13/01/2000;0.044000;114.187500;55.610804;100.384583;111.000000;689183.000000
14/01/2000;0.095785;125.125000;60.937510;109.999921;120.125000;2060508.000000
18/01/2000;0.013487;126.812500;61.759344;111.483490;122.750000;736430.000000
19/01/2000;0.017250;129.000000;62.824686;113.406580;123.625000;743737.000000
20/01/2000;0.096899;141.500000;68.912349;124.395564;141.125000;1405659.000000
21/01/2000;-0.017668;139.000000;67.694816;122.197743;143.437500;1231463.000000
24/01/2000;-0.061151;130.500000;63.555205;114.725229;139.250000;720154.000000
25/01/2000;0.021073;133.250000;64.894491;117.142834;131.500000;662706.000000
26/01/2000;-0.077861;122.875000;59.841730;108.021975;128.000000;727026.000000
27/01/2000;-0.005086;122.250000;59.537347;107.472576;121.250000;859321.000000
28/01/2000;-0.039877;117.375000;57.163159;103.186892;122.500000;618991.000000
31/01/2000;0.047391;122.937500;59.872169;108.077022;116.687500;744850.000000
01/02/2000;0.042196;128.125000;62.398549;112.637440;124.250000;421862.000000
02/02/2000;0.038049;133.000000;64.772738;116.923182;131.937500;392188.000000
03/02/2000;0.052632;140.000000;68.181829;123.077083;136.250000;422887.000000
04/02/2000;-0.021429;137.000000;66.720790;120.439664;138.500000;374295.000000
07/02/2000;-0.001825;136.750000;66.599037;120.219861;135.250000;472422.000000
08/02/2000;0.067642;146.000000;71.103908;128.351773;144.500000;381362.000000
09/02/2000;-0.024401;142.437500;69.368924;125.219862;146.125000;326296.000000
10/02/2000;0.010970;144.000000;70.129882;126.593524;144.687500;303630.000000
11/02/2000;-0.067708;134.250000;65.381504;118.022129;142.000000;379388.000000
14/02/2000;-0.003724;133.750000;65.137998;117.582615;135.000000;278559.000000
15/02/2000;-0.007944;132.687500;64.620546;116.648539;133.250000;687453.000000
16/02/2000;-0.005181;132.000000;64.285725;116.044183;130.000000;537960.000000
17/02/2000;0.017046;134.250000;65.381504;118.022272;133.000000;279449.000000
18/02/2000;-0.052142;127.250000;61.972413;111.868354;131.187500;328728.000000
22/02/2000;0.012770;128.875000;62.763809;113.296913;128.750000;401612.000000
23/02/2000;0.048497;135.125000;65.807641;118.791474;133.375000;442113.000000
24/02/2000;-0.037003;130.125000;63.372575;114.395833;134.750000;442448.000000
25/02/2000;-0.048031;123.875000;60.328744;108.901287;130.500000;753505.000000
28/02/2000;0.023713;126.812500;61.759344;111.483663;125.000000;563164.000000
29/02/2000;0.010350;128.125000;62.398549;112.637519;127.500000;1169798.000000
01/03/2000;0.112195;142.500000;69.399362;125.274885;136.687500;834424.000000
02/03/2000;-0.007018;141.500000;68.912349;124.395706;143.500000;293267.000000
03/03/2000;0.062279;150.312500;73.204151;132.142946;146.687500;344070.000000
06/03/2000;-0.053638;142.250000;69.277609;125.055063;138.625000;660928.000000
07/03/2000;-0.035149;137.250000;66.842543;120.659502;142.187500;235403.000000
08/03/2000;-0.032787;132.750000;64.650985;116.703439;137.562500;490685.000000
09/03/2000;0.034840;137.375000;66.903420;120.769387;134.750000;666589.000000
10/03/2000;0.091447;149.937500;73.021522;131.813385;148.750000;403643.000000
13/03/2000;-0.045436;143.125000;69.703745;125.824312;142.000000;519887.000000
14/03/2000;-0.032751;138.437500;67.420871;121.703440;147.625000;439562.000000
15/03/2000;-0.055531;130.750000;63.676958;114.945126;139.062500;567132.000000
16/03/2000;0.011472;132.250000;64.407478;116.263777;131.000000;727538.000000
17/03/2000;0.037807;137.250000;66.842543;120.659362;135.000000;443128.000000
20/03/2000;-0.005464;136.500000;66.477284;120.000079;140.000000;389503.000000
21/03/2000;-0.051282;129.500000;63.068192;113.846235;127.625000;449579.000000
22/03/2000;0.021236;132.250000;64.407478;116.263873;126.875000;562579.000000
23/03/2000;0.017013;134.500000;65.503257;118.241871;130.937500;763000.000000
24/03/2000;-0.019052;131.937500;64.255286;115.989127;136.375000;876148.000000
27/03/2000;0.037423;136.875000;66.659913;120.329788;136.250000;350716.000000
28/03/2000;-0.010959;135.375000;65.929394;119.011093;138.125000;389875.000000
29/03/2000;-0.139428;116.500000;56.737022;102.417615;131.500000;2208443.000000
30/03/2000;-0.053112;110.312500;53.723629;96.978010;115.000000;1314513.000000
31/03/2000;0.013031;111.750000;54.423710;98.241731;111.750000;947212.000000
03/04/2000;-0.105145;100.000000;48.701307;87.912104;108.875000;1676208.000000
04/04/2000;0.072500;107.250000;52.232151;94.285732;104.437500;3156035.000000
05/04/2000;0.109557;119.000000;57.954555;104.615393;106.937500;1037856.000000
06/04/2000;0.098740;130.750000;63.676958;114.945117;121.750000;1498939.000000
07/04/2000;-0.006692;129.875000;63.250822;114.175905;131.312500;538512.000000
10/04/2000;-0.070741;120.687500;58.776389;106.098987;126.125000;495797.000000
11/04/2000;-0.027965;117.312500;57.132720;103.131929;117.843750;675392.000000
12/04/2000;-0.072989;108.750000;52.962671;95.604433;116.750000;850600.000000
