DlyCalDt;DlyRet;prc_raw;prc_adj;tri;openprc;vol
03/01/2000;-0.050505;52.875000;371.937451;94.949500;55.625000;12613599.000000
04/01/2000;-0.042553;50.625000;356.110326;90.909114;52.000000;18024192.000000
05/01/2000;0.003704;50.812500;357.429253;91.245841;50.875000;13068899.000000
06/01/2000;0.065191;54.125000;380.730299;97.194249;51.312500;13973599.000000
07/01/2000;-0.002309;54.000000;379.851014;96.969827;54.000000;10459099.000000
10/01/2000;-0.001157;53.937500;379.411372;96.857633;54.937500;6376599.000000
11/01/2000;-0.015064;53.125000;373.696021;95.398570;53.375000;7474899.000000
12/01/2000;0.035294;55.000000;386.885292;98.765567;53.562500;8593299.000000
13/01/2000;0.010227;55.562500;390.842073;99.775643;55.000000;9284500.000000
14/01/2000;0.043870;58.000000;407.988126;104.152800;56.500000;16691199.000000
18/01/2000;0.008621;58.500000;411.505265;105.050701;58.062500;11785299.000000
19/01/2000;0.021368;59.750000;420.298113;107.295425;58.000000;14664699.000000
20/01/2000;-0.035565;57.625000;405.350272;103.479463;59.875000;10122199.000000
21/01/2000;-0.020607;56.437500;396.997067;101.347062;58.187500;11609699.000000
24/01/2000;-0.022148;55.187500;388.204219;99.102427;57.000000;8574500.000000
25/01/2000;0.012458;55.875000;393.040285;100.337045;56.812500;11565699.000000
26/01/2000;0.040269;58.125000;408.867411;104.377517;56.500000;10007899.000000
27/01/2000;0.015054;59.000000;415.022404;105.948816;58.625000;10868399.000000
28/01/2000;-0.048729;56.125000;394.798855;100.786037;57.500000;9053399.000000
31/01/2000;0.015590;57.000000;400.953848;102.357291;56.625000;10206601.000000
01/02/2000;0.021930;58.250000;409.746696;104.601986;57.562500;8980500.000000
02/02/2000;-0.020386;57.062500;401.393490;102.469570;58.312500;9879199.000000
03/02/2000;-0.010340;56.312500;396.117782;101.410035;57.812500;14251899.000000
04/02/2000;-0.027747;54.750000;385.126723;98.596211;56.875000;10996799.000000
07/02/2000;-0.006849;54.375000;382.488868;97.920925;55.312500;9331199.000000
08/02/2000;0.025287;55.750000;392.161001;100.397052;55.312500;9904899.000000
09/02/2000;-0.028027;54.187500;381.169941;97.583223;55.125000;9519599.000000
10/02/2000;-0.009227;53.687500;377.652802;96.682823;54.500000;8432299.000000
11/02/2000;0.005821;54.000000;379.851014;97.245614;54.187500;9947299.000000
14/02/2000;0.000000;54.000000;379.851014;97.245614;54.250000;8653099.000000
15/02/2000;0.005787;54.312500;382.049226;97.808374;52.875000;10523399.000000
16/02/2000;-0.007480;53.906250;379.191550;97.076767;54.125000;6827299.000000
17/02/2000;-0.026087;52.500000;369.299597;94.544326;54.250000;9655500.000000
18/02/2000;-0.020238;51.437500;361.825677;92.630938;52.437500;15293399.000000
22/02/2000;0.001215;51.500000;362.265319;92.743484;51.375000;14605699.000000
23/02/2000;-0.016990;50.625000;356.110326;91.167773;50.875000;11664899.000000
24/02/2000;-0.022222;49.500000;348.196763;89.141842;50.000000;23673296.000000
25/02/2000;-0.022727;48.375000;340.283200;87.115916;49.375000;14136099.000000
28/02/2000;0.020672;49.375000;347.317478;88.916776;49.500000;24188096.000000
29/02/2000;0.049367;51.812500;364.463531;93.306330;50.500000;19103296.000000
01/03/2000;-0.003619;51.625000;363.144604;92.968655;53.250000;12539899.000000
02/03/2000;-0.002421;51.500000;362.265319;92.743578;51.937500;8732899.000000
03/03/2000;0.037621;53.437500;375.894233;96.232684;53.500000;13885099.000000
06/03/2000;-0.023392;52.187500;367.101385;93.981609;54.000000;9312000.000000
07/03/2000;-0.034731;50.375000;354.351756;90.717534;52.812500;8590500.000000
08/03/2000;-0.007444;50.000000;351.713902;90.042232;50.750000;8850199.000000
09/03/2000;0.007500;50.375000;354.351756;90.717549;49.062500;11305099.000000
10/03/2000;-0.027295;49.000000;344.679624;88.241413;49.812500;9203299.000000
13/03/2000;0.019133;49.937500;351.274259;89.929736;47.937500;14465699.000000
14/03/2000;-0.003755;49.750000;349.955332;89.592050;50.125000;8941099.000000
15/03/2000;0.050251;52.250000;367.541027;94.094140;49.312500;17850000.000000
16/03/2000;0.090909;57.000000;400.953848;102.648145;53.625000;25742688.000000
17/03/2000;0.000000;57.000000;400.953848;102.648145;56.562500;14703299.000000
20/03/2000;-0.014254;56.187500;395.238497;101.184998;56.125000;10260299.000000
21/03/2000;0.033370;58.062500;408.427769;104.561541;56.312500;15505899.000000
22/03/2000;0.002960;58.234380;409.636820;104.871044;58.250000;11173799.000000
23/03/2000;0.059297;61.687500;433.927026;111.089582;58.750000;16414199.000000
24/03/2000;-0.018237;60.562500;426.013464;109.063641;61.812500;13773599.000000
27/03/2000;-0.008256;60.062500;422.496325;108.163212;60.562500;9602500.000000
28/03/2000;0.015609;61.000000;429.090960;109.851531;59.125000;10745199.000000
29/03/2000;-0.004098;60.750000;427.332391;109.401360;61.000000;8457799.000000
30/03/2000;-0.020576;59.500000;418.539543;107.150317;60.125000;8744600.000000
31/03/2000;0.006303;59.875000;421.177397;107.825686;60.062500;8743898.000000
03/04/2000;0.034447;61.937500;435.685596;111.539957;60.000000;12267500.000000
04/04/2000;-0.047427;59.000000;415.022404;106.249952;62.000000;18549696.000000
05/04/2000;-0.007415;58.562500;411.944908;105.462108;58.750000;9029899.000000
06/04/2000;0.012807;59.312500;417.220616;106.812761;59.500000;6380799.000000
07/04/2000;-0.005269;59.000000;415.022404;106.249965;59.750000;7097599.000000
10/04/2000;0.055085;62.250000;437.883808;112.102744;59.000000;11776699.000000
11/04/2000;0.019076;63.437500;446.237013;114.241216;62.125000;11481199.000000
12/04/2000;-0.002956;63.250000;444.918086;113.903519;64.187500;15852599.000000
13/04/2000;-0.010870;62.562500;440.082020;112.665388;63.000000;10858299.000000
14/04/2000;-0.072927;58.000000;407.988126;104.449039;60.937500;16262000.000000
17/04/2000;0.021552;59.250000;416.780974;106.700125;57.250000;14929399.000000
18/04/2000;0.048523;62.125000;437.004523;111.877535;59.625000;11214799.000000
19/04/2000;-0.040242;59.625000;419.418828;107.375359;62.062500;17875184.000000
20/04/2000;0.027254;61.250000;430.849530;110.301767;60.875000;7788099.000000
24/04/2000;0.009184;61.812500;434.806311;111.314779;60.625000;8076899.000000
25/04/2000;0.043478;64.500000;453.710933;116.154523;62.312500;9528099.000000
26/04/2000;-0.031008;62.500000;439.642377;112.552803;63.437500;8420799.000000
27/04/2000;-0.013440;61.500000;432.608099;111.040094;61.375000;8393399.000000
28/04/2000;-0.031504;59.562500;418.979186;107.541886;62.625000;8301000.000000
01/05/2000;0.012592;60.312500;424.254894;108.896054;60.187500;6716000.000000
02/05/2000;0.013472;61.125000;429.970245;110.363102;60.375000;6216799.000000
03/05/2000;-0.016360;60.125000;422.935967;108.557561;60.812500;8918199.000000
04/05/2000;-0.024948;58.625000;412.384550;105.849267;59.812500;9378299.000000
05/05/2000;0.015992;59.562500;418.979186;107.542009;57.937500;6004599.000000
08/05/2000;0.003148;59.750000;420.298113;107.880551;59.312500;7297599.000000
09/05/2000;-0.007322;59.312500;417.220616;107.090650;60.375000;7102899.000000
10/05/2000;-0.048472;56.437500;396.997067;101.899752;58.437500;9642500.000000
11/05/2000;0.044297;58.937500;414.582762;106.413605;57.687500;8346699.000000
12/05/2000;0.021209;60.187500;423.375609;108.670531;58.875000;8758399.000000
15/05/2000;0.044652;62.875000;442.280232;113.522888;60.312500;9148699.000000
16/05/2000;-0.018887;61.687500;433.927026;111.378781;63.187500;8654699.000000
17/05/2000;-0.010132;61.062500;429.530603;110.250291;61.625000;7073199.000000
18/05/2000;0.008188;61.562500;433.047742;111.153020;62.000000;8104799.000000
19/05/2000;-0.010152;60.937500;428.651318;110.024595;60.875000;7655299.000000
22/05/2000;0.006154;61.312500;431.289172;110.701686;61.375000;6420699.000000
23/05/2000;0.016310;62.312500;438.323450;112.507231;61.000000;7839299.000000
24/05/2000;-0.015045;61.375000;431.728815;110.814559;61.875000;12551399.000000
25/05/2000;-0.045825;58.562500;411.944908;105.736482;60.125000;11628000.000000
26/05/2000;-0.005336;58.250000;409.746696;105.172272;58.062500;8882599.000000
30/05/2000;0.035408;60.312500;424.254894;108.896212;59.500000;7086100.000000
31/05/2000;0.031088;62.187500;437.444165;112.281578;60.625000;7360601.000000
01/06/2000;0.018091;63.312500;445.357728;114.312864;63.000000;11004500.000000
02/06/2000;0.046397;66.250000;466.020920;119.616638;65.750000;11321399.000000
05/06/2000;0.002830;66.437500;467.339847;119.955153;65.812500;7824899.000000
06/06/2000;-0.024459;64.812500;455.909145;117.021170;65.875000;6717099.000000
07/06/2000;0.021215;66.187500;465.581278;119.503774;65.375000;7279399.000000
08/06/2000;-0.025496;64.500000;453.710933;116.456906;66.187500;7095299.000000
09/06/2000;-0.007752;64.000000;450.193794;115.554132;64.937500;6436500.000000
12/06/2000;0.000000;64.000000;450.193794;115.554132;64.437500;5139399.000000
13/06/2000;0.020508;65.312500;459.426284;117.923916;64.625000;6522000.000000
