DlyCalDt;DlyRet;prc_raw;prc_adj;tri;openprc;vol
03/01/2000;0.001953;32.062500;32.062500;100.195300;;251700.000000
04/01/2000;0.017544;32.625000;32.625000;101.953126;;425500.000000
05/01/2000;0.015326;33.125000;33.125000;103.515660;;464900.000000
06/01/2000;0.113208;36.875000;36.875000;115.234461;;569500.000000
07/01/2000;0.005085;37.062500;37.062500;115.820428;;308100.000000
10/01/2000;-0.011804;36.625000;36.625000;114.453284;;239800.000000
11/01/2000;-0.027304;35.625000;35.625000;111.328251;;267400.000000
12/01/2000;0.012281;36.062500;36.062500;112.695473;;259300.000000
13/01/2000;0.005199;36.250000;36.250000;113.281377;;380900.000000
14/01/2000;-0.020690;35.500000;35.500000;110.937586;;388900.000000
18/01/2000;-0.028169;34.500000;34.500000;107.812585;;403300.000000
19/01/2000;0.003623;34.625000;34.625000;108.203190;;300400.000000
20/01/2000;-0.019856;33.937500;33.937500;106.054707;;578900.000000
21/01/2000;0.012891;34.375000;34.375000;107.421858;;523800.000000
24/01/2000;-0.040000;33.000000;33.000000;103.124984;;616200.000000
25/01/2000;-0.041667;31.625000;31.625000;98.828075;;348700.000000
26/01/2000;-0.017787;31.062500;31.062500;97.070220;;545600.000000
27/01/2000;-0.020121;30.437500;30.437500;95.117070;;976900.000000
28/01/2000;0.006160;30.625000;30.625000;95.702992;;860100.000000
31/01/2000;-0.014286;30.187500;30.187500;94.335779;;465400.000000
01/02/2000;-0.014493;29.750000;29.750000;92.968570;;383700.000000
02/02/2000;-0.006303;29.562500;29.562500;92.382589;;453200.000000
03/02/2000;0.031713;30.500000;30.500000;95.312318;;1091399.000000
04/02/2000;-0.049180;29.000000;29.000000;90.624859;;1004200.000000
07/02/2000;0.036638;30.062500;30.062500;93.945172;;716100.000000
08/02/2000;0.016632;30.562500;30.562500;95.507668;;323500.000000
09/02/2000;0.000000;30.562500;30.562500;95.507668;;320600.000000
10/02/2000;-0.004090;30.437500;30.437500;95.117042;;555700.000000
11/02/2000;-0.039014;29.250000;29.250000;91.406146;;569200.000000
14/02/2000;0.017094;29.750000;29.750000;92.968642;;206200.000000
15/02/2000;0.029412;30.625000;30.625000;95.703036;;310600.000000
16/02/2000;0.038776;31.812500;31.812500;99.414017;;817000.000000
17/02/2000;0.027505;32.687500;32.687500;102.148399;;713400.000000
18/02/2000;-0.038241;31.437500;31.437500;98.242142;;228300.000000
22/02/2000;0.117296;35.125000;35.125000;109.765553;;711300.000000
23/02/2000;-0.044484;33.562500;33.562500;104.882742;;346900.000000
24/02/2000;-0.031657;32.500000;32.500000;101.562469;;401300.000000
25/02/2000;-0.048077;30.937500;30.937500;96.679650;;511600.000000
