DlyCalDt;DlyRet;prc_raw;prc_adj;tri;openprc;vol
03/01/2000;-0.069905;49.062500;24.531250;93.009500;52.125000;962800.000000
04/01/2000;0.042038;51.125000;25.562500;96.919433;51.000000;1324799.000000
05/01/2000;0.068460;54.625000;27.312500;103.554538;52.000000;1737399.000000
06/01/2000;0.003432;54.812500;27.406250;103.909937;54.625000;1448500.000000
07/01/2000;0.026226;56.250000;28.125000;106.635079;55.250000;1136699.000000
10/01/2000;-0.008889;55.750000;27.875000;105.687200;56.625000;1218799.000000
11/01/2000;-0.013453;55.000000;27.500000;104.265390;55.500000;399200.000000
12/01/2000;-0.032000;53.000000;26.500000;100.928897;54.375000;1352399.000000
13/01/2000;0.000000;53.000000;26.500000;100.928897;54.000000;616500.000000
14/01/2000;0.007075;53.375000;26.687500;101.642969;53.500000;635100.000000
18/01/2000;-0.029274;51.812500;25.906250;98.667473;51.625000;923000.000000
19/01/2000;-0.020507;50.750000;25.375000;96.644099;51.250000;674400.000000
20/01/2000;-0.030788;49.187500;24.593750;93.668621;50.500000;913100.000000
21/01/2000;0.003812;49.375000;24.687500;94.025685;49.625000;870200.000000
24/01/2000;-0.059494;46.437500;23.218750;88.431721;49.625000;840800.000000
25/01/2000;0.013459;47.062500;23.531250;89.621924;46.437500;1225000.000000
26/01/2000;-0.002656;46.937500;23.468750;89.383888;47.312500;1419299.000000
27/01/2000;0.001332;47.000000;23.500000;89.502947;48.937500;1052699.000000
28/01/2000;0.005319;47.250000;23.625000;89.979014;47.250000;1147299.000000
31/01/2000;-0.002646;47.125000;23.562500;89.740929;47.125000;399100.000000
01/02/2000;0.025199;48.312500;24.156250;92.002311;47.250000;566800.000000
02/02/2000;-0.016818;47.500000;23.750000;90.455016;49.125000;759900.000000
03/02/2000;-0.026316;46.250000;23.125000;88.074602;48.250000;885500.000000
04/02/2000;-0.014865;45.562500;22.781250;86.765373;46.625000;1124000.000000
07/02/2000;-0.023320;44.500000;22.250000;84.742004;46.062500;2692899.000000
08/02/2000;-0.033708;43.000000;21.500000;81.885521;44.125000;2071699.000000
09/02/2000;-0.029070;41.750000;20.875000;79.505109;42.500000;1656899.000000
10/02/2000;0.010479;42.187500;21.093750;80.338243;41.812500;603600.000000
11/02/2000;-0.017778;41.437500;20.718750;78.909989;42.125000;777000.000000
14/02/2000;0.003017;41.562500;20.781250;79.148061;42.000000;571500.000000
15/02/2000;-0.006015;41.312500;20.656250;78.671985;41.562500;1165000.000000
16/02/2000;0.006051;41.562500;20.781250;79.148029;42.000000;650100.000000
17/02/2000;0.037594;43.125000;21.562500;82.123520;41.625000;1006500.000000
18/02/2000;-0.028986;41.875000;20.937500;79.743088;43.250000;949900.000000
22/02/2000;0.026866;43.000000;21.500000;81.885466;42.000000;504000.000000
23/02/2000;0.002907;43.125000;21.562500;82.123507;43.250000;559200.000000
24/02/2000;-0.020290;42.250000;21.125000;80.457221;43.000000;1318199.000000
25/02/2000;0.016272;42.937500;21.468750;81.766421;42.187500;495800.000000
28/02/2000;0.002911;43.062500;21.531250;82.004443;43.187500;367700.000000
29/02/2000;0.004354;43.250000;21.625000;82.361490;43.000000;578900.000000
01/03/2000;-0.020231;42.375000;21.187500;80.695235;43.250000;752400.000000
02/03/2000;-0.029499;41.125000;20.562500;78.314806;42.250000;863600.000000
03/03/2000;-0.054711;38.875000;19.437500;74.030125;41.125000;1989299.000000
06/03/2000;-0.027331;37.812500;18.906250;72.006808;39.000000;1386199.000000
07/03/2000;-0.014876;37.250000;18.625000;70.935634;37.000000;881800.000000
08/03/2000;0.006711;37.500000;18.750000;71.411683;37.625000;2240599.000000
09/03/2000;0.061667;39.812500;19.906250;75.815428;37.062500;1137899.000000
10/03/2000;-0.012559;39.312500;19.656250;74.863262;39.875000;1147799.000000
13/03/2000;-0.006359;39.062500;19.531250;74.387206;38.500000;761600.000000
14/03/2000;0.027200;40.125000;20.062500;76.410538;39.250000;1138299.000000
15/03/2000;0.080997;43.375000;21.687500;82.599563;41.125000;1296599.000000
16/03/2000;0.040346;45.125000;22.562500;85.932124;44.750000;1436599.000000
17/03/2000;0.013850;45.750000;22.875000;87.122284;45.125000;1308000.000000
20/03/2000;0.006831;46.062500;23.031250;87.717417;45.625000;908100.000000
21/03/2000;0.009498;46.500000;23.250000;88.550557;46.000000;902900.000000
22/03/2000;-0.012097;45.937500;22.968750;87.479361;46.125000;850900.000000
23/03/2000;0.010884;46.437500;23.218750;88.431486;45.875000;414500.000000
24/03/2000;0.039031;48.250000;24.125000;91.883055;46.437500;761600.000000
27/03/2000;-0.009067;47.812500;23.906250;91.049952;48.000000;533100.000000
28/03/2000;-0.014379;47.125000;23.562500;89.740744;47.000000;380300.000000
29/03/2000;-0.001326;47.062500;23.531250;89.621748;47.375000;327500.000000
30/03/2000;0.026560;48.312500;24.156250;92.002102;47.312500;528600.000000
31/03/2000;0.029754;49.750000;24.875000;94.739532;48.437500;1085399.000000
03/04/2000;0.022613;50.875000;25.437500;96.881877;50.000000;680300.000000
04/04/2000;0.020885;51.937500;25.968750;98.905255;50.687500;1467899.000000
05/04/2000;-0.015451;50.875000;25.437500;97.377070;51.375000;851700.000000
06/04/2000;0.004914;51.125000;25.562500;97.855581;50.875000;573700.000000
07/04/2000;-0.007335;50.750000;25.375000;97.137811;51.000000;599800.000000
10/04/2000;0.000000;50.750000;25.375000;97.137811;50.500000;474100.000000
11/04/2000;0.008621;51.187500;25.593750;97.975236;49.000000;924400.000000
12/04/2000;0.021978;52.312500;26.156250;100.128535;51.125000;1001100.000000
13/04/2000;0.008363;52.750000;26.375000;100.965910;52.312500;853700.000000
14/04/2000;-0.034360;50.937500;25.468750;97.496722;52.375000;822200.000000
17/04/2000;-0.009816;50.437500;25.218750;96.539694;50.000000;790100.000000
18/04/2000;-0.003717;50.250000;25.125000;96.180856;48.500000;606900.000000
19/04/2000;0.034826;52.000000;26.000000;99.530450;50.437500;681800.000000
20/04/2000;0.030048;53.562500;26.781250;102.521141;54.000000;2007299.000000
24/04/2000;0.082847;58.000000;29.000000;111.014710;53.312500;1868599.000000
25/04/2000;0.022629;59.312500;29.656250;113.526862;58.000000;1885599.000000
26/04/2000;-0.041096;56.875000;28.437500;108.861362;59.250000;2051299.000000
27/04/2000;0.043956;59.375000;29.687500;113.646472;55.187500;1940299.000000
28/04/2000;-0.014737;58.500000;29.250000;111.971664;58.750000;1018200.000000
01/05/2000;0.007479;58.937500;29.468750;112.809100;57.062500;1691899.000000
02/05/2000;-0.029693;57.187500;28.593750;109.459460;57.812500;668600.000000
03/05/2000;-0.024044;55.812500;27.906250;106.827616;56.937500;450900.000000
04/05/2000;0.000000;55.812500;27.906250;106.827616;55.500000;655200.000000
05/05/2000;0.021277;57.000000;28.500000;109.100588;55.687500;326200.000000
08/05/2000;-0.016447;56.062500;28.031250;107.306210;56.750000;346200.000000
09/05/2000;0.025641;57.500000;28.750000;110.057649;56.000000;646900.000000
10/05/2000;-0.030435;55.750000;27.875000;106.708044;56.625000;615600.000000
11/05/2000;0.013453;56.500000;28.250000;108.143587;56.000000;283300.000000
12/05/2000;-0.001106;56.437500;28.218750;108.023981;55.812500;455500.000000
15/05/2000;0.008859;56.937500;28.468750;108.980965;56.187500;840500.000000
16/05/2000;-0.012075;56.250000;28.125000;107.665020;56.937500;943500.000000
17/05/2000;-0.028889;54.625000;27.312500;104.554685;54.625000;975300.000000
18/05/2000;0.019451;55.687500;27.843750;106.588378;54.812500;799200.000000
19/05/2000;0.020202;56.812500;28.406250;108.741677;55.500000;821700.000000
22/05/2000;-0.011001;56.187500;28.093750;107.545410;56.562500;626900.000000
23/05/2000;0.013348;56.937500;28.468750;108.980926;55.937500;455900.000000
24/05/2000;0.024149;58.312500;29.156250;111.612706;57.187500;1012900.000000
