DlyCalDt;DlyRet;prc_raw;prc_adj;tri;openprc;vol
03/01/2000;-0.060338;73.000000;48.666667;93.966200;74.750000;8012699.000000
04/01/2000;-0.023493;70.875000;47.250000;91.758652;70.625000;7815599.000000
05/01/2000;-0.006173;70.437500;46.958333;91.192226;70.250000;5809699.000000
06/01/2000;0.014197;71.437500;47.625000;92.486882;70.125000;5579500.000000
07/01/2000;0.018373;72.750000;48.500000;94.186143;72.625000;4381299.000000
10/01/2000;-0.017182;71.500000;47.666667;92.567837;72.750000;3149000.000000
11/01/2000;-0.023601;69.812500;46.541667;90.383144;70.000000;5604000.000000
12/01/2000;0.006267;70.250000;46.833333;90.949575;69.687500;4847899.000000
13/01/2000;0.015125;71.312500;47.541667;92.325187;71.125000;4612599.000000
14/01/2000;0.035933;73.875000;49.250000;95.642708;73.937500;6487899.000000
18/01/2000;-0.038917;71.000000;47.333333;91.920581;73.937500;3711099.000000
19/01/2000;0.044014;74.125000;49.416667;95.966373;72.250000;10489799.000000
20/01/2000;-0.015177;73.000000;48.666667;94.509892;75.375000;5172199.000000
21/01/2000;-0.000856;72.937500;48.625000;94.428991;73.875000;3440399.000000
24/01/2000;0.000857;73.000000;48.666667;94.509917;74.375000;4306099.000000
25/01/2000;0.022260;74.625000;49.750000;96.613707;73.000000;5053299.000000
26/01/2000;0.047739;78.187500;52.125000;101.225949;75.375000;5588899.000000
27/01/2000;0.031974;80.687500;53.791667;104.462548;79.437500;5444000.000000
28/01/2000;-0.049574;76.687500;51.125000;99.283921;79.562500;5000000.000000
31/01/2000;0.052160;80.687500;53.791667;104.462571;76.812500;4756699.000000
01/02/2000;0.037955;83.750000;55.833333;108.427448;82.437500;6434000.000000
02/02/2000;-0.016418;82.375000;54.916667;106.647286;83.000000;4750799.000000
03/02/2000;0.009863;83.187500;55.458333;107.699148;83.500000;6133500.000000
04/02/2000;-0.017280;81.750000;54.500000;105.838107;82.500000;3410099.000000
07/02/2000;0.005352;82.187500;54.791667;106.404552;82.187500;3122799.000000
08/02/2000;0.034981;85.062500;56.708333;110.126690;84.062500;4212399.000000
09/02/2000;-0.025716;82.875000;55.250000;107.294672;84.937500;6545699.000000
10/02/2000;0.003017;83.125000;55.416667;107.618380;83.125000;4587000.000000
11/02/2000;-0.006015;82.625000;55.083333;106.971055;83.250000;4701699.000000
