DlyCalDt;DlyRet;prc_raw;prc_adj;tri;openprc;vol
03/01/2000;-0.001606;116.562500;58.281250;99.839400;117.375000;26937123.000000
04/01/2000;-0.033780;112.625000;56.312500;96.466825;113.562500;27531141.000000
05/01/2000;0.010544;113.812500;56.906250;97.483971;111.125000;32708345.000000
06/01/2000;-0.033498;110.000000;55.000000;94.218453;112.187500;27997348.000000
07/01/2000;0.013068;111.437500;55.718750;95.449700;108.625000;31415665.000000
10/01/2000;0.007291;112.250000;56.125000;96.145624;113.437500;24322885.000000
11/01/2000;-0.025613;109.375000;54.687500;93.683046;111.500000;23857503.000000
12/01/2000;-0.032571;105.812500;52.906250;90.631695;108.500000;33588432.000000
13/01/2000;0.018901;107.812500;53.906250;92.344725;104.375000;42115412.000000
14/01/2000;0.041159;112.250000;56.125000;96.145542;107.187500;37321270.000000
18/01/2000;0.027283;115.312500;57.656250;98.768680;111.812500;41258548.000000
19/01/2000;-0.072087;107.000000;53.500000;91.648743;110.500000;49489201.000000
20/01/2000;-0.009346;106.000000;53.000000;90.792193;107.062500;28412801.000000
21/01/2000;-0.021226;103.750000;51.875000;88.865038;107.000000;34714662.000000
24/01/2000;-0.024096;101.250000;50.625000;86.723746;103.812500;32371878.000000
25/01/2000;0.015432;102.812500;51.406250;88.062067;101.000000;30167793.000000
26/01/2000;-0.033435;99.375000;49.687500;85.117712;102.437500;25084165.000000
27/01/2000;-0.006289;98.750000;49.375000;84.582407;99.890630;32115258.000000
28/01/2000;-0.005063;98.250000;49.125000;84.154166;98.125000;29558231.000000
31/01/2000;-0.003817;97.875000;48.937500;83.832949;97.625000;37402654.000000
01/02/2000;0.051724;102.937500;51.468750;88.169125;98.500000;35371815.000000
02/02/2000;-0.020644;100.812500;50.406250;86.348962;102.437500;25374598.000000
03/02/2000;0.027898;103.625000;51.812500;88.757925;102.062500;24897369.000000
04/02/2000;0.028347;106.562500;53.281250;91.273946;104.375000;28255344.000000
07/02/2000;0.000587;106.625000;53.312500;91.327524;106.812500;20730333.000000
08/02/2000;0.031067;109.937500;54.968750;94.164796;106.437500;28330213.000000
09/02/2000;-0.054008;104.000000;52.000000;89.079143;109.437500;27861870.000000
10/02/2000;0.019231;106.000000;53.000000;90.792224;103.890630;27639242.000000
11/02/2000;-0.057193;99.937500;49.968750;85.599545;104.875000;58300385.000000
14/02/2000;-0.003127;99.625000;49.812500;85.331875;101.234380;40789242.000000
15/02/2000;-0.010665;98.562500;49.281250;84.421811;99.750000;36009904.000000
16/02/2000;-0.009512;97.625000;48.812500;83.618790;99.250000;33151192.000000
17/02/2000;0.020487;99.625000;49.812500;85.331888;98.500000;40617147.000000
18/02/2000;-0.045797;95.062500;47.531250;81.423944;100.000000;40017089.000000
22/02/2000;-0.013149;93.812500;46.906250;80.353301;95.125000;33643748.000000
23/02/2000;0.004664;94.250000;47.125000;80.728068;93.500000;38734683.000000
24/02/2000;0.005305;94.750000;47.375000;81.156331;94.250000;35273691.000000
25/02/2000;-0.036280;91.312500;45.656250;78.211979;94.687500;32920697.000000
28/02/2000;0.002738;91.562500;45.781250;78.426123;90.250000;38373585.000000
29/02/2000;-0.023891;89.375000;44.687500;76.552445;91.750000;29468633.000000
01/03/2000;0.016084;90.812500;45.406250;77.783714;89.625000;54389760.000000
02/03/2000;0.028218;93.375000;46.687500;79.978615;91.812500;53715752.000000
03/03/2000;0.029451;96.125000;48.062500;82.334065;94.750000;51079550.000000
06/03/2000;-0.057217;90.625000;45.312500;77.623157;96.000000;47303837.000000
07/03/2000;0.024828;92.875000;46.437500;79.550385;96.125000;68240415.000000
08/03/2000;0.028937;95.562500;47.781250;81.852335;93.812500;47543215.000000
09/03/2000;0.046436;100.000000;50.000000;85.653230;95.312500;44519308.000000
10/03/2000;0.010000;101.000000;50.500000;86.509762;99.562500;43244376.000000
13/03/2000;-0.029703;98.000000;49.000000;83.940162;97.625000;31383080.000000
14/03/2000;-0.029337;95.125000;47.562500;81.477610;98.625000;37057770.000000
15/03/2000;0.002628;95.375000;47.687500;81.691733;94.562500;26766501.000000
16/03/2000;0.000000;95.375000;47.687500;81.691733;95.937500;39126188.000000
17/03/2000;0.041940;99.375000;49.687500;85.117884;95.250000;42579816.000000
20/03/2000;-0.020126;97.375000;48.687500;83.404802;98.750000;24357407.000000
21/03/2000;0.055199;102.750000;51.375000;88.008663;96.750000;41282102.000000
22/03/2000;0.004866;103.250000;51.625000;88.436914;102.812500;47518036.000000
23/03/2000;0.083535;111.875000;55.937500;95.824491;106.812500;74881403.000000
24/03/2000;-0.001676;111.687500;55.843750;95.663889;112.625000;57028673.000000
27/03/2000;-0.068271;104.062500;52.031250;89.132820;107.765630;56529619.000000
28/03/2000;0.002402;104.312500;52.156250;89.346917;103.625000;40953766.000000
29/03/2000;0.027561;107.187500;53.593750;91.809407;105.187500;33864533.000000
30/03/2000;-0.035569;103.375000;51.687500;88.543838;106.187500;32428674.000000
31/03/2000;0.027811;106.250000;53.125000;91.006331;106.000000;32319302.000000
03/04/2000;-0.144706;90.875000;45.437500;77.837169;94.437500;132327594.000000
04/04/2000;-0.025447;88.562500;44.281250;75.856447;91.562500;91515436.000000
05/04/2000;-0.024700;86.375000;43.187500;73.982792;88.250000;41806259.000000
06/04/2000;-0.004342;86.000000;43.000000;73.661559;87.875000;33690556.000000
07/04/2000;0.035611;89.062500;44.531250;76.284721;87.000000;41782141.000000
10/04/2000;-0.033684;86.062500;43.031250;73.715146;88.625000;32418509.000000
11/04/2000;-0.025418;83.875000;41.937500;71.841455;85.125000;37980309.000000
12/04/2000;-0.053651;79.375000;39.687500;67.987089;82.125000;77240907.000000
13/04/2000;-0.001575;79.250000;39.625000;67.880009;80.875000;47633980.000000
14/04/2000;-0.064669;74.125000;37.062500;63.490277;79.125000;76843485.000000
17/04/2000;0.023609;75.875000;37.937500;64.989219;74.250000;60667990.000000
18/04/2000;0.061779;80.562500;40.281250;69.004188;76.500000;51579375.000000
19/04/2000;-0.023274;78.687500;39.343750;67.398184;81.437500;27561542.000000
20/04/2000;0.003177;78.937500;39.468750;67.612308;78.625000;26790119.000000
24/04/2000;-0.155978;66.625000;33.312500;57.066276;67.250000;158203092.000000
25/04/2000;0.041276;69.375000;34.687500;59.421743;68.750000;80572444.000000
