DlyCalDt;DlyRet;prc_raw;prc_adj;tri;openprc;vol
03/01/2000;-0.002663;46.812500;0.097526;99.733700;47.250000;631356.000000
04/01/2000;-0.026702;45.562500;0.094922;97.070611;46.000000;652800.000000
05/01/2000;-0.032922;44.062500;0.091797;93.874852;44.250000;394241.000000
06/01/2000;-0.065248;41.187500;0.085807;87.749706;44.062500;253494.000000
07/01/2000;0.016692;41.875000;0.087240;89.214424;41.000000;149328.000000
10/01/2000;0.032836;43.250000;0.090104;92.143869;42.000000;501390.000000
11/01/2000;-0.040462;41.500000;0.086458;88.415543;43.000000;309788.000000
12/01/2000;-0.025602;40.437500;0.084245;86.151929;41.500000;258966.000000
13/01/2000;0.041731;42.125000;0.087760;89.747135;40.375000;277186.000000
14/01/2000;0.043027;43.937500;0.091536;93.608685;42.750000;1264305.000000
18/01/2000;0.042674;45.812500;0.095443;97.603342;44.500000;552527.000000
19/01/2000;-0.009550;45.375000;0.094531;96.671230;46.000000;344651.000000
20/01/2000;-0.002755;45.250000;0.094271;96.404901;45.750000;381771.000000
21/01/2000;-0.011050;44.750000;0.093229;95.339627;45.125000;1134897.000000
24/01/2000;-0.044693;42.750000;0.089063;91.078613;46.000000;537264.000000
25/01/2000;-0.008772;42.375000;0.088281;90.279671;42.937500;495834.000000
26/01/2000;-0.041298;40.625000;0.084635;86.551301;42.375000;486148.000000
27/01/2000;-0.052308;38.500000;0.080208;82.023976;40.937500;958042.000000
28/01/2000;-0.029221;37.375000;0.077865;79.627153;38.000000;407524.000000
31/01/2000;-0.008361;37.062500;0.077214;78.961390;37.562500;382882.000000
01/02/2000;0.023609;37.937500;0.079036;80.825590;37.125000;195968.000000
02/02/2000;0.028007;39.000000;0.081250;83.089272;38.125000;313127.000000
03/02/2000;0.016026;39.625000;0.082552;84.420861;40.250000;228013.000000
04/02/2000;0.023659;40.562500;0.084505;86.418174;40.875000;259742.000000
07/02/2000;-0.061633;38.062500;0.079297;81.091963;40.750000;457551.000000
08/02/2000;0.047619;39.875000;0.083073;84.953481;39.000000;980571.000000
09/02/2000;0.025078;40.875000;0.085156;87.083944;41.375000;1233674.000000
10/02/2000;0.204893;49.250000;0.102604;104.926835;43.375000;2032326.000000
11/02/2000;0.015228;50.000000;0.104167;106.524661;51.687500;891336.000000
14/02/2000;0.160000;58.000000;0.120833;123.568606;50.125000;1364305.000000
15/02/2000;-0.038793;55.750000;0.116146;118.775010;58.125000;945080.000000
16/02/2000;0.045964;58.312500;0.121484;124.234384;56.375000;2138952.000000
17/02/2000;0.035370;60.375000;0.125781;128.628554;58.250000;1119576.000000
18/02/2000;0.115942;67.375000;0.140365;143.542006;59.500000;2007563.000000
22/02/2000;-0.027829;65.500000;0.136458;139.547376;65.250000;1137272.000000
23/02/2000;0.005725;65.875000;0.137240;140.346284;64.750000;1068515.000000
24/02/2000;-0.009488;65.250000;0.135937;139.014679;66.250000;511763.000000
25/02/2000;-0.062261;61.187500;0.127474;130.359486;65.312500;584449.000000
28/02/2000;-0.007150;60.750000;0.126562;129.427416;60.875000;1080944.000000
29/02/2000;0.053498;64.000000;0.133333;136.351523;60.375000;639563.000000
01/03/2000;-0.029297;62.125000;0.129427;132.356833;64.000000;802384.000000
02/03/2000;-0.067404;57.937500;0.120703;123.435453;62.625000;400147.000000
03/03/2000;0.016181;58.875000;0.122656;125.432762;58.000000;573387.000000
06/03/2000;-0.006369;58.500000;0.121875;124.633881;59.250000;906848.000000
07/03/2000;0.424145;83.312500;0.173568;177.496718;75.000000;4105402.000000
08/03/2000;0.008252;84.000000;0.175000;178.961421;83.265630;1405861.000000
09/03/2000;0.194010;100.296880;0.208952;213.681726;85.000000;2015931.000000
10/03/2000;0.176507;118.000000;0.245833;251.398047;105.500000;4556920.000000
13/03/2000;0.264830;149.250000;0.310937;317.975791;107.000000;5074472.000000
14/03/2000;-0.262144;110.125000;0.229427;234.620345;148.437500;3292629.000000
15/03/2000;-0.040863;105.625000;0.220052;225.033054;118.015630;2090517.000000
16/03/2000;-0.108432;94.171880;0.196191;200.632270;109.000000;1594491.000000
17/03/2000;0.060561;99.875000;0.208073;212.782761;92.000000;1174846.000000
20/03/2000;-0.000626;99.812500;0.207943;212.649559;103.812500;767709.000000
21/03/2000;-0.049468;94.875000;0.197656;202.130211;100.000000;1125641.000000
