DlyCalDt;DlyRet;prc_raw;prc_adj;tri;openprc;vol
03/01/2000;0.046099;36.875000;36.875000;104.609900;35.375000;5297699.000000
04/01/2000;-0.025424;35.937500;35.937500;101.950298;36.562500;4555699.000000
05/01/2000;-0.024348;35.062500;35.062500;99.468012;35.812500;5701899.000000
06/01/2000;0.044563;36.625000;36.625000;103.900605;34.750000;6863099.000000
07/01/2000;0.044369;38.250000;38.250000;108.510571;36.875000;10523599.000000
10/01/2000;-0.035948;36.875000;36.875000;104.609833;38.125000;6402500.000000
11/01/2000;-0.003390;36.750000;36.750000;104.255206;37.250000;5611599.000000
12/01/2000;-0.011905;36.312500;36.312500;103.014047;36.750000;4267299.000000
13/01/2000;-0.010327;35.937500;35.937500;101.950221;36.312500;3144199.000000
14/01/2000;0.006957;36.187500;36.187500;102.659489;36.062500;5413699.000000
18/01/2000;0.001727;36.250000;36.250000;102.836782;35.937500;4821599.000000
19/01/2000;0.005172;36.437500;36.437500;103.368654;36.875000;3999699.000000
20/01/2000;-0.008576;36.125000;36.125000;102.482164;36.437500;3106099.000000
21/01/2000;0.000000;36.125000;36.125000;102.482164;36.187500;4454399.000000
24/01/2000;-0.022491;35.312500;35.312500;100.177238;36.187500;3785000.000000
25/01/2000;-0.028319;34.312500;34.312500;97.340319;35.312500;4356500.000000
26/01/2000;-0.010929;33.937500;33.937500;96.276486;34.312500;3174099.000000
27/01/2000;-0.003683;33.812500;33.812500;95.921900;34.000000;2610099.000000
28/01/2000;-0.016636;33.250000;33.250000;94.326143;33.562500;4090799.000000
31/01/2000;0.026316;34.125000;34.125000;96.808430;33.500000;2989600.000000
01/02/2000;-0.003663;34.000000;34.000000;96.453821;34.000000;3602599.000000
02/02/2000;-0.029412;33.000000;33.000000;93.616921;33.750000;3289099.000000
03/02/2000;0.001894;33.062500;33.062500;93.794232;33.000000;3662899.000000
04/02/2000;-0.009452;32.750000;32.750000;92.907688;33.625000;3885599.000000
07/02/2000;-0.011450;32.375000;32.375000;91.843895;32.875000;3999699.000000
08/02/2000;0.028958;33.312500;33.312500;94.503511;33.312500;5010500.000000
09/02/2000;0.020638;34.000000;34.000000;96.453874;35.000000;8432399.000000
10/02/2000;0.018382;34.625000;34.625000;98.226890;34.875000;5909500.000000
11/02/2000;-0.007220;34.375000;34.375000;97.517691;35.000000;5530399.000000
14/02/2000;-0.009091;34.062500;34.062500;96.631158;34.187500;3493299.000000
15/02/2000;0.003670;34.187500;34.187500;96.985794;34.000000;3909599.000000
16/02/2000;0.014625;34.687500;34.687500;98.404212;34.125000;4606799.000000
17/02/2000;-0.010811;34.312500;34.312500;97.340364;34.562500;2847699.000000
18/02/2000;-0.001821;34.250000;34.250000;97.163107;34.375000;3650099.000000
22/02/2000;0.012774;34.687500;34.687500;98.404268;34.312500;2929399.000000
23/02/2000;-0.014414;34.187500;34.187500;96.985869;34.312500;3249299.000000
24/02/2000;-0.005484;34.000000;34.000000;96.453999;34.062500;3612799.000000
25/02/2000;-0.036765;32.750000;32.750000;92.907868;34.000000;4204699.000000
28/02/2000;0.015267;33.250000;33.250000;94.326292;33.187500;3654699.000000
29/02/2000;-0.033835;32.125000;32.125000;91.134762;32.875000;4635500.000000
01/03/2000;0.013619;32.562500;32.562500;92.375926;32.000000;5496399.000000
02/03/2000;-0.030710;31.562500;31.562500;89.539061;32.687500;5170399.000000
03/03/2000;0.001980;31.625000;31.625000;89.716349;32.500000;4626599.000000
06/03/2000;-0.019763;31.000000;31.000000;87.943285;31.062500;4457899.000000
07/03/2000;-0.012097;30.625000;30.625000;86.879435;31.000000;7053199.000000
08/03/2000;0.000327;30.500000;30.500000;86.907844;31.000000;5159799.000000
09/03/2000;0.028689;31.375000;31.375000;89.401143;30.750000;3913199.000000
10/03/2000;-0.019920;30.750000;30.750000;87.620273;31.062500;3649099.000000
13/03/2000;0.012195;31.125000;31.125000;88.688802;30.125000;4308000.000000
14/03/2000;-0.014056;30.687500;30.687500;87.442192;30.625000;4602699.000000
