DlyCalDt;DlyRet;prc_raw;prc_adj;tri;openprc;vol
03/01/2000;0.036936;189.500000;94.750000;103.693600;192.375000;18178992.000000
04/01/2000;-0.071158;176.015630;88.007815;96.314971;184.000000;16891392.000000
05/01/2000;-0.020684;172.375000;86.187500;94.322792;175.000000;21249184.000000
06/01/2000;-0.063089;161.500000;80.750000;88.372061;173.750000;18504688.000000
07/01/2000;0.095975;177.000000;88.500000;96.853570;165.875000;14064699.000000
10/01/2000;0.042373;184.500000;92.250000;100.957546;182.000000;14836099.000000
11/01/2000;-0.043360;176.500000;88.250000;96.580027;183.500000;16256299.000000
12/01/2000;-0.019122;173.125000;86.562500;94.733224;178.000000;14523599.000000
13/01/2000;0.054152;182.500000;91.250000;99.863217;177.000000;12581599.000000
14/01/2000;0.015753;185.375000;92.687500;101.436363;186.000000;10949000.000000
18/01/2000;0.014161;188.000000;94.000000;102.872803;184.125000;8374500.000000
19/01/2000;0.013630;190.562500;95.281250;104.274959;186.984380;9497799.000000
20/01/2000;0.002296;191.000000;95.500000;104.514374;191.000000;12977799.000000
21/01/2000;0.007853;192.500000;96.250000;105.335126;193.000000;9348099.000000
24/01/2000;-0.051948;182.500000;91.250000;99.863177;194.875000;14168599.000000
25/01/2000;0.020890;186.312500;93.156250;101.949319;183.750000;16636699.000000
26/01/2000;-0.039249;179.000000;89.500000;97.947910;186.500000;11545000.000000
27/01/2000;0.011173;181.000000;90.500000;99.042282;183.500000;15365099.000000
28/01/2000;-0.052486;171.500000;85.750000;93.843949;180.000000;17656784.000000
31/01/2000;0.049563;180.000000;90.000000;98.495136;171.750000;18006096.000000
01/02/2000;0.027778;185.000000;92.500000;101.231134;179.062500;13208299.000000
02/02/2000;0.004054;185.750000;92.875000;101.641525;184.500000;13084599.000000
03/02/2000;0.034993;192.250000;96.125000;105.198267;188.625000;15289299.000000
04/02/2000;0.008127;193.812500;96.906250;106.053213;194.000000;13318099.000000
07/02/2000;0.015479;196.812500;98.406250;107.694811;194.500000;8880000.000000
08/02/2000;0.039060;204.500000;102.250000;111.901370;198.750000;10992399.000000
09/02/2000;-0.031785;198.000000;99.000000;108.344585;204.125000;13647099.000000
10/02/2000;0.032197;204.375000;102.187500;111.832956;199.625000;13170099.000000
11/02/2000;-0.031193;198.000000;99.000000;108.344550;204.125000;12437500.000000
14/02/2000;0.003630;198.718750;99.359375;108.737841;199.984380;11406899.000000
15/02/2000;0.008964;200.500000;100.250000;109.712567;197.875000;15285899.000000
16/02/2000;-0.002494;200.000000;100.000000;109.438944;199.812500;12654699.000000
17/02/2000;0.018750;203.750000;101.875000;111.490924;202.375000;15038299.000000
18/02/2000;-0.030061;197.625000;98.812500;108.139396;205.250000;12634500.000000
