DlyCalDt;DlyRet;prc_raw;prc_adj;tri;openprc;vol
03/01/2000;-0.009787;145.437500;145.437500;99.021300;148.250000;8164299.000000
04/01/2000;-0.039106;139.750000;139.750000;95.148973;143.531250;8089799.000000
05/01/2000;0.001789;140.000000;140.000000;95.319195;139.937500;12177899.000000
06/01/2000;-0.016071;137.750000;137.750000;93.787320;139.625000;6227199.000000
07/01/2000;0.058076;145.750000;145.750000;99.234112;140.312500;8066599.000000
10/01/2000;0.003431;146.250000;146.250000;99.574584;146.250000;5741599.000000
11/01/2000;-0.013248;144.312500;144.312500;98.255420;145.812500;7433699.000000
12/01/2000;-0.008662;143.062500;143.062500;97.404332;144.593750;6911699.000000
13/01/2000;0.013543;145.000000;145.000000;98.723479;144.468750;5158299.000000
14/01/2000;0.013578;146.968750;146.968750;100.063946;146.531250;7437299.000000
18/01/2000;-0.007867;145.812500;145.812500;99.276743;145.343750;6488500.000000
19/01/2000;0.003000;146.250000;146.250000;99.574573;145.312500;6152899.000000
20/01/2000;-0.010256;144.750000;144.750000;98.553336;146.968750;5800099.000000
21/01/2000;-0.002159;144.437500;144.437500;98.340560;145.500000;6244799.000000
24/01/2000;-0.028343;140.343750;140.343750;95.553293;145.656250;7896899.000000
25/01/2000;0.011356;141.937500;141.937500;96.638397;140.515630;9942500.000000
26/01/2000;-0.007926;140.812500;140.812500;95.872441;141.000000;5158099.000000
27/01/2000;-0.003995;140.250000;140.250000;95.489430;141.843750;10919899.000000
28/01/2000;-0.031194;135.875000;135.875000;92.510733;139.437500;11916199.000000
31/01/2000;0.027599;139.625000;139.625000;95.063937;135.812500;10768601.000000
01/02/2000;0.009400;140.937500;140.937500;95.957538;139.750000;8419799.000000
02/02/2000;0.000887;141.062500;141.062500;96.042652;141.281250;6205899.000000
03/02/2000;0.015064;143.187500;143.187500;97.489438;140.875000;7997500.000000
04/02/2000;-0.004147;142.593750;142.593750;97.085150;143.187500;4925399.000000
07/02/2000;-0.001534;142.375000;142.375000;96.936221;142.562500;5845799.000000
08/02/2000;0.013608;144.312500;144.312500;98.255329;143.968750;4936500.000000
09/02/2000;-0.021005;141.281250;141.281250;96.191476;144.468750;8511500.000000
10/02/2000;0.001991;141.562500;141.562500;96.382993;141.625000;6690599.000000
11/02/2000;-0.020309;138.687500;138.687500;94.425551;141.843750;9849199.000000
14/02/2000;0.005858;139.500000;139.500000;94.978696;139.781250;8528799.000000
15/02/2000;0.011425;141.093750;141.093750;96.063828;139.250000;11078299.000000
16/02/2000;-0.013511;139.187500;139.187500;94.765909;140.375000;8845399.000000
17/02/2000;-0.006511;138.281250;138.281250;94.148888;140.437500;7584199.000000
18/02/2000;-0.021469;135.312500;135.312500;92.127606;138.875000;9650899.000000
22/02/2000;-0.002540;134.968750;134.968750;91.893602;135.187500;16415399.000000
23/02/2000;0.011808;136.562500;136.562500;92.978681;135.625000;12119000.000000
24/02/2000;-0.020137;133.812500;133.812500;91.106370;136.687500;17374992.000000
25/02/2000;-0.003620;133.328130;133.328130;90.776565;135.187500;10559899.000000
28/02/2000;0.020977;136.125000;136.125000;92.680785;133.375000;13397799.000000
29/02/2000;0.009642;137.437500;137.437500;93.574413;136.062500;8242500.000000
01/03/2000;0.007276;138.437500;138.437500;94.255260;137.625000;6866000.000000
02/03/2000;0.000677;138.531250;138.531250;94.319071;138.687500;7600199.000000
03/03/2000;0.018723;141.125000;141.125000;96.085007;140.437500;12770299.000000
06/03/2000;-0.009300;139.812500;139.812500;95.191416;140.812500;11966899.000000
07/03/2000;-0.019781;137.046880;137.046880;93.308435;140.000000;20061792.000000
08/03/2000;-0.001254;136.875000;136.875000;93.191426;136.468750;11808399.000000
09/03/2000;0.029224;140.875000;140.875000;95.914852;137.250000;5500899.000000
10/03/2000;-0.004880;140.187500;140.187500;95.446788;140.187500;7924500.000000
13/03/2000;-0.011369;138.593750;138.593750;94.361653;136.687500;10540399.000000
14/03/2000;-0.014205;136.625000;136.625000;93.021246;139.281250;8263699.000000
15/03/2000;0.023330;139.812500;139.812500;95.191432;136.875000;10300799.000000
16/03/2000;0.046714;146.343750;146.343750;99.638204;141.625000;25601392.000000
17/03/2000;0.006591;146.937500;146.937500;100.294920;145.812500;10272899.000000
20/03/2000;-0.001063;146.781250;146.781250;100.188306;146.875000;12502099.000000
21/03/2000;0.016393;149.187500;149.187500;101.830693;145.531250;13612799.000000
22/03/2000;0.006075;150.093750;150.093750;102.449315;149.562500;8259799.000000
