PERMNO;HdrCUSIP;Ticker;PERMCO;DlyCalDt;DlyRet
28310;90478470;UN;21803;3-1-2000;-0.010333
28310;90478470;UN;21803;4-1-2000;-0.016241
28310;90478470;UN;21803;5-1-2000;0.055425
28310;90478470;UN;21803;6-1-2000;0.01676
28310;90478470;UN;21803;7-1-2000;0.041758
28310;90478470;UN;21803;10-1-2000;-0.03481
28310;90478470;UN;21803;11-1-2000;-0.013115
28310;90478470;UN;21803;12-1-2000;0.009967
28310;90478470;UN;21803;13-1-2000;-0.001096
28310;90478470;UN;21803;14-1-2000;-0.015368
28310;90478470;UN;21803;18-1-2000;-0.018952
28310;90478470;UN;21803;19-1-2000;-0.035227
28310;90478470;UN;21803;20-1-2000;-0.031802
28310;90478470;UN;21803;21-1-2000;-0.008516
28310;90478470;UN;21803;24-1-2000;-0.022086
28310;90478470;UN;21803;25-1-2000;0.001255
28310;90478470;UN;21803;26-1-2000;-0.010025
28310;90478470;UN;21803;27-1-2000;-0.029114
28310;90478470;UN;21803;28-1-2000;-0.040417
28310;90478470;UN;21803;31-1-2000;0.005435
28310;90478470;UN;21803;1-2-2000;-0.02973
28310;90478470;UN;21803;2-2-2000;-0.002786
28310;90478470;UN;21803;3-2-2000;0.001397
28310;90478470;UN;21803;4-2-2000;-0.054393
28310;90478470;UN;21803;7-2-2000;-0.022124
28310;90478470;UN;21803;8-2-2000;-0.001508
28310;90478470;UN;21803;9-2-2000;0.001511
28310;90478470;UN;21803;10-2-2000;0.007541
28310;90478470;UN;21803;11-2-2000;-0.023952
28310;90478470;UN;21803;14-2-2000;0.015337
28310;90478470;UN;21803;15-2-2000;0.045317
28310;90478470;UN;21803;16-2-2000;0.020231
28310;90478470;UN;21803;17-2-2000;0.024079
28310;90478470;UN;21803;18-2-2000;0.019364
28310;90478470;UN;21803;22-2-2000;0.039349
28310;90478470;UN;21803;23-2-2000;-0.005222
28310;90478470;UN;21803;24-2-2000;-0.052493
28310;90478470;UN;21803;25-2-2000;-0.031856
28310;90478470;UN;21803;28-2-2000;0.012876
28310;90478470;UN;21803;29-2-2000;0.028249
28310;90478470;UN;21803;1-3-2000;0.032967
28310;90478470;UN;21803;2-3-2000;-0.00266
28310;90478470;UN;21803;3-3-2000;-0.008
28310;90478470;UN;21803;6-3-2000;-0.032258
28310;90478470;UN;21803;7-3-2000;-0.073611
28310;90478470;UN;21803;8-3-2000;-0.007496
28310;90478470;UN;21803;9-3-2000;0.033233
28310;90478470;UN;21803;10-3-2000;-0.035088
28310;90478470;UN;21803;13-3-2000;-0.015152
