Stock,Avg_FZ5%,Avg_FZ1%,VaR5_Viol,VaR1_Viol,ES5_Viol
MICROSOFT,-3.372512887558623,-2.8944871795182996,0.05389531870789428,0.010882708585247884,0.019001554672655036
ASML,-2.984858342915633,-2.617296258636559,0.05424080152012437,0.012610122646398342,0.021419934358265676
CITIGROUP,-3.1594267345360327,-2.7211077148906266,0.052686128865088964,0.013992053895318707,0.022456382794955952
GENERALDYNAMICS,-3.485059110004876,-3.069649815370497,0.053722577301779234,0.01347382967697357,0.02366557263776127
JPM,-3.3119055736901974,-2.8668686930218317,0.05234064605285887,0.010364484366902746,0.01796510623596476
NVIDIA,-2.7517574042362836,-2.265636424330334,0.04802211089998273,0.010364484366902746,0.01554672655035412
PEPSICO,-3.7856176177297653,-3.350029096919856,0.05234064605285887,0.013646571083088616,0.02159267576438072
QQQ,-3.5566510107884155,-3.1868830870460996,0.06685092416652272,0.016237692174814303,0.027638624978407324
SPY,-3.7998741696173832,-3.420488287505229,0.0690965624460183,0.015028502332008982,0.025565728105026775
DIAGEO,-3.5949513629000216,-3.159360272526069,0.0554499913629297,0.012610122646398342,0.020383485921575403
