Stock,Avg_FZ5%,Avg_FZ1%,VaR5_Viol,VaR1_Viol,ES5_Viol
MICROSOFT,-3.3177573135337304,-2.744589252291743,0.04767662808775264,0.013128346864743479,0.019519778891000174
ASML,-2.9124788177606944,-2.516313850666542,0.04974952496113318,0.01105544999136293,0.030229746070133012
CITIGROUP,-3.131457023264544,-2.5110037183176703,0.045258248402141994,0.011400932803593021,0.02573846951114182
GENERALDYNAMICS,-3.3814122067817802,-2.9397786760241607,0.04992226636724823,0.01105544999136293,0.02694765935394714
JPM,-3.2764772854846433,-2.7956154556634845,0.05009500777336327,0.012091898428053204,0.022283641388840904
NVIDIA,-2.7436940307290323,-2.196119006867759,0.04750388668163759,0.009500777336327518,0.02159267576438072
PEPSICO,-3.7124022887571813,-3.2268220856952925,0.045603731214372084,0.011746415615823113,0.02746588357229228
QQQ,-3.4919129158437148,-3.222163043984563,0.05061323199170841,0.009155294524097427,0.027638624978407324
SPY,-3.724822618746162,-3.351658314667619,0.04767662808775264,0.011400932803593021,0.02936603903955778
DIAGEO,-3.5212444011262254,-2.9380901773584434,0.05009500777336327,0.013646571083088616,0.025565728105026775
