Stock,Avg_FZ5%,Avg_FZ1%,VaR5_Viol,VaR1_Viol,ES5_Viol
MICROSOFT,-3.54572223233008,-2.851622842164211,0.08461938616264955,0.026183457603606727,0.0419628923183631
ASML,-3.1204713221402187,-2.4007995184372204,0.08600658921449628,0.029651465233223512,0.04560430032946072
CITIGROUP,-3.1869574611254707,-2.022456386836163,0.08623980565677598,0.031754294638209266,0.04424778761061947
GENERALDYNAMICS,-3.654674352448105,-3.004709902142184,0.08373786407766991,0.02860610263522885,0.04247572815533981
JPM,-3.3113015694768495,-2.22839721296329,0.0891123439667129,0.03138002773925104,0.0478502080443828
NVIDIA,-2.906646095828737,-2.1597778214511805,0.08012486992715921,0.026708289975719737,0.04092958723551856
PEPSICO,-3.922666385875332,-3.1207973951833585,0.08807212205270458,0.029299583911234398,0.045423023578363385
QQQ,-3.7523304151497086,-2.9727292887932415,0.08356449375866852,0.02756588072122053,0.04559639389736477
SPY,-3.946383560667703,-3.0773670529990116,0.0877253814147018,0.02912621359223301,0.044382801664355064
DIAGEO,-3.710611750599586,-2.9037945333935826,0.09197569662685942,0.030798240100565682,0.04672113974439556
