Stock,Avg_FZ5%,Avg_FZ1%,VaR5_Viol,VaR1_Viol,ES5_Viol
MICROSOFT,-3.487375531084882,-3.061893894463215,0.047858505288711634,0.010577423270331194,0.02150164730362407
ASML,-3.0928131729518635,-2.6724659169157636,0.04751170452574996,0.011097624414773712,0.021848448066585747
CITIGROUP,-3.030865694803118,-2.2443284342010865,0.04980045115391289,0.018046156515703626,0.028457400659378795
GENERALDYNAMICS,-3.587624904047274,-3.1665381347345685,0.04889042995839112,0.011269070735090153,0.020284327323162276
JPM,-3.3225207119613263,-2.6789604096007404,0.05357142857142857,0.0159500693481276,0.026352288488210817
NVIDIA,-2.8627923486082825,-2.442049524972856,0.0492542490461325,0.011446409989594173,0.022719389524800553
PEPSICO,-3.8957354553082557,-3.356797656565856,0.053224687933425795,0.014563106796116505,0.026005547850208043
QQQ,-3.677255498152324,-3.216622584514131,0.042128987517337034,0.011095700416088766,0.021324549237170597
SPY,-3.8692293850761557,-3.3383299207607497,0.05253120665742025,0.010748959778085992,0.020977808599167824
DIAGEO,-3.6785133216776496,-3.1901575910750757,0.05133040016760947,0.013618269432222921,0.02199874292897549
